Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,0.47µ,CC0603KRX7R9BB474 
"C10, C11",CP_Radial_D4.0mm_P1.50mm,2,100µF,
C100,0603,1,0.1µ,CC0603KRX7R9BB104
"D1, D10, D11, D13, D15, D17, D19, D2, D21, D23, D25, D26, D3, D4, D5, D6, D7, D8",0603,18,LED,XL-1608SURC-06 
"D12, D14, D16, D18, D20, D22, D24, D9",D_SOD-523,8,1N4148,1N4148WT 
GITHUB,https___github.com_KbeDemy_Sturing-en-detectie-van-lampen,1,DOCS,
J0,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J1, J4","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,1715721 
"J2, J3","TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",2,Screw_Terminal_01x08,1715789
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"K1, K2, K3, K4, K5, K6, K7, K8",Relay_SPDT_Omron_G5V-1,8,G5V-1,G5V-1-DC5 
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,NPN,MMBT5551
"R1, R10, R13, R14, R17, R18, R2, R21, R22, R25, R26, R29, R30, R5, R6, R9",1206,16,100k,RC1206FR-7W100KL
"R11, R15, R19, R23, R27, R3, R31, R34, R40, R44, R48, R52, R56, R60, R64, R7",0603,16,10k,RC0603FR-0710KL
"R12, R16, R20, R24, R28, R32, R35, R36, R37, R38, R4, R41, R42, R45, R46, R49, R50, R53, R54, R57, R58, R61, R62, R66, R67, R8",0603,26,470,0603WAF4700T5E
"R33, R39, R43, R47, R51, R55, R59, R63",0603,8,1k,RC0603FR-071KL
"R65, R68",0603,2,4.7k,FRC0603J472 TS
"U1, U3, U4, U6, U7, U8, U9",DIP-4_W7.62mm,7,LTV-814,LITEON LTV-814
"U11, U12, U13, U14, U15, U16, U17, U18",DIP-4_W7.62mm,8,LTV-817,LTV-817-B
U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,MCP23017-E/SO
U5,DIP-4_W7.62mm,1,LTV-814,
