Designator,Mid X,Mid Y,Rotation,Layer
C1,180.45,-81.2,0.0,top
C100,161.95,-97.375,90.0,top
C2,171.45,-81.175,0.0,top
C3,162.7,-81.2,0.0,top
C4,153.775,-81.2,0.0,top
C5,144.925,-81.2,0.0,top
C6,135.925,-81.2,0.0,top
C7,126.675,-81.2,0.0,top
C8,117.55,-81.2,0.0,top
D1,180.4375,-82.75,0.0,top
D10,117.905,-117.89,0.0,top
D11,126.9125,-117.95,0.0,top
D12,126.65,-119.5,180.0,top
D13,135.85,-117.9,0.0,top
D14,135.6,-119.5,180.0,top
D15,144.8,-117.9,0.0,top
D16,144.6,-119.45,180.0,top
D17,153.9125,-117.825,0.0,top
D18,153.65,-119.425,180.0,top
D19,162.779643,-117.81,0.0,top
D2,171.41,-82.725,0.0,top
D20,162.542143,-119.41,180.0,top
D21,171.8125,-117.7,0.0,top
D22,171.55,-119.3,180.0,top
D23,180.8125,-117.65,0.0,top
D24,180.55,-119.25,180.0,top
D25,174.2,-96.9375,90.0,top
D26,174.35,-89.4625,270.0,top
D3,162.6875,-82.75,0.0,top
D4,153.78,-82.75,0.0,top
D5,144.9425,-82.75,0.0,top
D6,135.9125,-82.75,0.0,top
D7,126.65,-82.75,0.0,top
D8,117.5375,-82.75,0.0,top
D9,117.655,-119.44,180.0,top
GITHUB,151.1,-92.4,0.0,bottom
K1,120.5325,-126.9225,0.0,top
K2,129.5325,-126.9725,0.0,top
K3,138.51,-126.99,0.0,top
K4,147.4825,-126.9225,0.0,top
K5,156.59,-126.815,0.0,top
K6,165.46,-126.82,0.0,top
K7,174.46,-126.79,0.0,top
K8,183.4825,-126.7725,0.0,top
Q1,118.1,-115.1,90.0,top
Q2,127.1,-115.15,90.0,top
Q3,136.05,-115.1125,90.0,top
Q4,145.0,-115.1,90.0,top
Q5,154.1,-115.0625,90.0,top
Q6,162.992143,-115.0225,90.0,top
Q7,172.0,-114.9125,90.0,top
Q8,180.9625,-114.85,90.0,top
R1,180.095,-67.7,270.0,top
R10,166.095,-67.7,270.0,top
R11,165.75,-81.2,180.0,top
R12,165.75,-82.75,180.0,top
R13,153.595,-67.7375,270.0,top
R14,157.33,-67.7375,270.0,top
R15,156.855,-81.2,180.0,top
R16,156.88,-82.75,180.0,top
R17,144.595,-67.7375,270.0,top
R18,148.33,-67.7375,270.0,top
R19,147.98,-81.2,180.0,top
R2,183.845,-67.7,270.0,top
R20,147.98,-82.75,180.0,top
R21,135.595,-67.7375,270.0,top
R22,139.345,-67.7375,270.0,top
R23,139.025,-81.2,180.0,top
R24,139.025,-82.75,180.0,top
R25,126.345,-67.7,270.0,top
R26,130.095,-67.7,270.0,top
R27,129.75,-81.2,180.0,top
R28,129.75,-82.75,180.0,top
R29,117.345,-67.6625,270.0,top
R3,183.5075,-81.2,180.0,top
R30,121.095,-67.6625,270.0,top
R31,120.6,-81.2,180.0,top
R32,120.6,-82.75,180.0,top
R33,120.655,-115.54,270.0,top
R34,122.205,-115.54,270.0,top
R35,119.1,-101.9,0.0,top
R36,120.955,-117.89,180.0,top
R37,128.125,-101.9,0.0,top
R38,129.975,-117.95,180.0,top
R39,129.631306,-115.6,270.0,top
R4,183.5,-82.75,180.0,top
R40,131.1875,-115.6,270.0,top
R41,137.1,-101.9,0.0,top
R42,138.9,-117.9,180.0,top
R43,138.6875,-115.5375,270.0,top
R44,140.2875,-115.5375,270.0,top
R45,146.075,-101.9,0.0,top
R46,147.85,-117.9,180.0,top
R47,147.65,-115.5,270.0,top
R48,149.2,-115.5,270.0,top
R49,155.0,-101.9,0.0,top
R5,171.095,-67.7,270.0,top
R50,156.9625,-117.825,180.0,top
R51,156.65,-115.475,270.0,top
R52,158.167611,-115.465,270.0,top
R53,163.975,-101.9,0.0,top
R54,165.842143,-117.81,180.0,top
R55,165.492143,-115.46,270.0,top
R56,167.042143,-115.46,270.0,top
R57,173.05,-101.9,180.0,top
R58,174.875,-117.7,180.0,top
R59,174.55,-115.325,270.0,top
R6,174.845,-67.7,270.0,top
R60,176.1,-115.325,270.0,top
R61,181.825,-101.9,180.0,top
R62,183.875,-117.65,180.0,top
R63,183.5,-115.3,270.0,top
R64,185.1,-115.325,270.0,top
R65,161.6,-91.2,180.0,top
R66,176.95,-96.9375,270.0,top
R67,176.9,-89.475,90.0,top
R68,161.55,-93.75,180.0,top
R7,174.4925,-81.175,180.0,top
R8,174.4925,-82.725,180.0,top
R9,162.345,-67.7,270.0,top
U1,181.975,-75.51,270.0,top
U11,119.205,-107.605,270.0,top
U12,128.183571,-107.605,270.0,top
U13,137.162143,-107.605,270.0,top
U14,146.140714,-107.605,270.0,top
U15,155.119286,-107.605,270.0,top
U16,164.097857,-107.605,270.0,top
U17,173.076429,-107.605,270.0,top
U18,182.055,-107.605,270.0,top
U2,150.65,-91.85,0.0,top
U3,172.975,-75.51,270.0,top
U4,164.25,-75.51,270.0,top
U5,155.325,-75.51,270.0,top
U6,146.465,-75.51,270.0,top
U7,137.45,-75.51,270.0,top
U8,128.25,-75.51,270.0,top
U9,119.15,-75.51,270.0,top
